No.;E(HOMO);E(LUMO);He8_steric;PA;Q(B);BE(B);P-B;ΔP-A(B);ΔA−P-A(B);Q(Au);BE(Au);Au-Cl;Au-P;ΔP-A(Au);ΔA−P-A(Au);Q(Pd);BE(Pd);Pd-Cl trans;P-Pd;ΔP-A(Pd);ΔA−P-A(Pd);Q(Pt);BE(Pt);P-Pt;ΔP-A(Pt);ΔA−P-A(Pt);<(H3P)Pt(PH3);S4';;;;;
315;-0,18480;0,00430;6,22;230,47;-0,708;37,05;1,906;-0,034;2,7;-0,309;69,95;2,304;2,253;-0,035;3,0;-1,274;33,66;2,367;2,253;-0,018;0,3;-0,020;17,47;2,309;-0,002;-0,5;107,8;38,6;;;;;
316;-0,19350;-0,07970;2,75;211,31;-0,624;29,45;1,944;-0,005;3,6;-0,260;62,36;2,303;2,266;0,005;3,0;-1,250;39,87;2,367;2,258;0,004;1,6;0,039;16,74;2,324;-0,005;1,3;109,7;45,5;;;;;
317;-0,16380;0,02230;34,68;255,41;-0,687;38,66;1,968;-0,012;1,3;-0,313;77,80;2,324;2,306;-0,013;2,2;-1,247;26,48;2,385;2,357;0,020;-1,4;-0,039;8,46;2,327;0,019;-1,0;104,5;7,1;;;;;
318;-0,16650;0,01580;21,27;253,66;-0,691;41,78;1,943;-0,030;4,5;-0,339;74,45;2,325;2,297;-0,027;6,2;-1,300;34,07;2,386;2,310;-0,008;1,4;-0,048;15,06;2,321;-0,003;1,6;106,2;16,8;;;;;
319;-0,17910;-0,01920;4,06;218,64;-0,684;34,83;1,894;-0,033;2,8;-0,281;65,92;2,297;2,247;-0,035;3,1;-1,221;34,37;2,356;2,245;-0,014;0,2;0,041;19,80;2,275;0,002;-1,2;107,6;46,4;;;;;
320;-0,17730;-0,06170;7,09;235,51;-0,645;38,82;1,924;-0,032;4,6;-0,283;65,55;2,309;2,269;-0,018;2,0;-1,196;32,55;2,361;2,279;0,000;-0,3;0,042;17,44;2,305;0,004;-0,4;107,9;37,9;;;;;
321;-0,18160;-0,04910;3,58;220,04;-0,653;31,63;1,892;-0,037;3,0;-0,250;61,07;2,295;2,246;-0,040;2,8;-1,191;33,31;2,347;2,239;-0,018;0,3;0,118;18,47;2,268;0,006;-2,1;109,1;48,7;;;;;
322;-0,16500;-0,05580;10,68;247,91;-0,692;39,91;1,930;-0,030;3,8;-0,330;75,10;2,320;2,279;-0,035;4,3;-1,275;37,60;2,381;2,292;-0,013;1,3;-0,027;18,73;2,338;-0,005;0,9;107,5;43,3;;;;;
323;-0,19100;-0,03550;7,64;231,44;-0,683;31,99;1,900;-0,034;1,9;-0,306;64,53;2,308;2,256;-0,037;1,6;-1,251;30,93;2,364;2,249;-0,017;-1,6;0,053;12,37;2,284;0,007;-2,5;107,2;49,7;;;;;
324;-0,15770;-0,03920;36,93;249,69;-0,680;33,54;1,955;-0,011;1,3;-0,303;70,63;2,323;2,301;-0,013;2,0;-1,239;29,66;2,376;2,343;0,015;-2,6;-0,018;4,46;2,329;0,021;-2,3;104,3;8,1;;;;;
325;-0,16530;-0,06710;13,80;254,36;-0,658;35,12;1,935;-0,028;2,7;-0,291;72,57;2,323;2,279;-0,025;2,5;-1,207;29,91;2,370;2,321;-0,014;3,9;0,022;11,95;2,330;0,007;-0,9;107,9;30,4;;;;;
326;-0,17180;-0,05990;14,04;247,21;-0,637;31,57;1,935;-0,017;0,8;-0,274;68,19;2,317;2,270;-0,018;0,7;-1,176;26,60;2,362;2,304;0,002;0,4;0,060;14,20;2,321;0,012;-1,8;109,7;43,2;;;;;
327;-0,18860;0,00590;2,54;231,14;-0,713;36,86;1,913;-0,037;0,7;-0,304;69,83;2,306;2,253;-0,038;3,0;-1,316;42,23;2,375;2,237;-0,028;-0,3;-0,038;17,85;2,310;-0,006;-2,6;107,7;51,8;;;;;
328;-0,16770;0,00690;4,39;240,15;-0,707;38,25;1,919;-0,040;2,8;-0,321;72,65;2,313;2,268;-0,040;3,2;-1,337;44,58;2,378;2,252;-0,030;1,8;-0,043;16,33;2,330;-0,009;0,2;107,8;42,8;;;;;
329;-0,17700;-0,04350;2,82;239,19;-0,680;38,95;1,910;-0,030;3,6;-0,313;72,39;2,311;2,256;-0,034;4,0;-1,306;43,60;2,376;2,236;-0,024;2,4;-0,001;19,82;2,300;-0,006;0,5;107,6;49,3;;;;;
330;-0,16660;-0,04650;6,81;242,58;-0,684;39,23;1,915;-0,033;3,6;-0,317;73,48;2,315;2,263;-0,036;4,0;-1,268;37,48;2,374;2,263;-0,018;1,0;-0,001;18,31;2,310;-0,006;0,1;106,4;50,3;;;;;
331;-0,20490;-0,05860;7,98;216,54;-0,643;30,11;1,900;-0,038;3,3;-0,242;61,57;2,295;2,252;-0,040;3,1;-1,163;30,39;2,348;2,245;-0,018;-0,4;0,131;17,48;2,270;0,013;-2,1;107,0;72,5;;;;;
332;-0,22800;-0,10550;2,41;203,80;-0,603;28,61;1,930;0,000;1,0;-0,232;60,26;2,301;2,250;0,003;0,8;-1,197;31,08;2,362;2,257;0,002;0,5;0,080;18,02;2,310;0,004;-0,8;112,2;44,0;;;;;
333;-0,21240;-0,10830;2,62;210,87;-0,596;27,89;1,934;0,005;1,0;-0,229;60,29;2,301;2,256;0,009;0,7;-1,158;28,97;2,363;2,268;0,005;-0,1;0,114;18,74;2,303;0,006;-1,0;111,6;41,7;;;;;
334;-0,16530;0,01120;4,83;244,60;-0,716;41,00;1,914;-0,036;2,3;-0,343;75,07;2,316;2,268;-0,039;2,3;-1,340;45,94;2,383;2,254;-0,029;1,4;-0,058;18,89;2,318;-0,009;-0,9;107,2;41,1;;;;;
335;-0,18330;-0,03700;2,76;236,46;-0,667;38,70;1,912;-0,028;3,0;-0,297;71,42;2,308;2,257;-0,030;3,1;-1,276;41,53;2,372;2,254;-0,024;2,1;-0,007;19,34;2,304;-0,008;0,7;108,4;35,3;;;;;
336;-0,17230;-0,03740;8,66;239,14;-0,672;37,84;1,921;-0,024;2,8;-0,289;71,50;2,313;2,270;-0,025;3,1;-1,252;32,19;2,368;2,279;-0,012;0,5;0,024;14,00;2,320;0,000;0,1;108,0;36,3;;;;;
337;-0,13480;0,02620;11,70;270,83;-0,716;40,91;1,933;-0,049;2,3;-0,350;76,56;2,322;2,279;-0,053;3,1;-1,308;34,90;2,378;2,301;-0,032;-0,8;-0,043;17,98;2,338;-0,022;-1,1;108,2;31,6;;;;;
338;-0,13880;0,02150;30,49;276,02;-0,732;40,41;1,946;-0,046;2,3;-0,348;78,98;2,331;2,294;-0,054;2,2;-1,275;36,74;2,383;2,335;-0,034;-1,7;-0,022;14,70;2,381;-0,010;-2,3;106,3;26,8;;;;;
339;-0,19850;-0,06180;2,97;219,26;-0,627;32,73;1,904;-0,029;5,6;-0,483;61,64;2,301;2,260;-0,036;3,7;-1,178;36,02;2,350;2,239;-0,004;3,3;0,111;18,80;2,283;0,022;1,9;108,2;39,8;;;;;
340;-0,19950;-0,05280;7,12;228,78;-0,642;35,27;1,927;-0,027;2,7;-0,519;69,11;2,308;2,268;-0,024;3,1;-1,187;33,63;2,364;2,298;-0,003;0,4;0,054;15,74;2,314;0,017;-0,8;106,8;27,4;;;;;
341;-0,18850;-0,00890;5,43;240,02;-0,689;39,55;1,917;-0,025;3,0;-0,307;73,72;2,313;2,268;-0,023;3,4;-1,252;34,78;2,373;2,290;-0,008;0,9;-0,026;17,46;2,325;0,003;0,1;107,2;22,7;;;;;
342;-0,18490;-0,06290;5,26;227,75;-0,660;37,27;1,934;-0,010;1,1;-0,290;71,20;2,309;2,273;-0,004;1,1;-1,265;39,25;2,368;2,280;0,011;-1,1;0,014;13,25;2,334;-0,003;0,8;108,5;42,6;;;;;
343;-0,19780;-0,07000;12,34;238,85;-0,632;32,08;1,956;-0,014;1,6;-0,275;69,17;2,311;2,284;-0,015;1,7;-1,205;31,73;2,361;2,323;0,005;0,2;0,031;12,02;2,353;0,006;-2,0;108,2;21,5;;;;;
344;-0,18730;-0,05200;11,02;236,55;-0,668;35,99;1,924;-0,025;3,1;-0,293;71,09;2,311;2,275;-0,028;3,3;-1,222;33,18;2,367;2,292;-0,005;0,4;0,036;17,68;2,313;0,005;-0,9;106,5;47,3;;;;;
345;-0,19630;-0,07040;13,42;227,96;-0,651;29,28;1,922;-0,018;3,2;-0,258;66,71;2,308;2,261;-0,028;3,2;-1,176;34,02;2,358;2,286;0,001;-0,3;0,081;14,56;2,305;0,011;-1,5;107,4;47,9;;;;;
346;-0,19980;-0,07990;7,98;227,29;-0,637;31,56;1,914;-0,023;2,8;-0,256;65,30;2,304;2,265;-0,024;2,7;-1,179;33,68;2,353;2,262;-0,007;-0,5;0,086;15,47;2,300;0,011;-0,9;107,9;51,4;;;;;
347;-0,17240;-0,05250;17,21;237,09;-0,716;33,09;1,907;-0,036;3,6;-0,317;64,43;2,311;2,274;-0,037;3,0;-1,200;32,28;2,358;2,272;-0,011;-1,2;0,038;16,20;2,318;0,006;-1,5;107,7;60,3;;;;;
348;-0,16980;-0,06710;4,14;239,45;-0,671;36,11;1,900;-0,037;4,3;-0,289;71,96;2,315;2,258;-0,038;4,0;-1,213;35,38;2,371;2,255;-0,017;1,2;0,058;18,15;2,282;0,002;-0,1;107,3;51,8;;;;;
